COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
350780,Brodowski,150,4.8,8.67,2151.49,0,25201,5.95,112.0451417048991,1.3387461314035838,0
353660,Paulo de Faria,44,6.0,15.91,2742.62,1,7400,5.95,32.900839197502215,1.3373519057027705,1
353480,Ouro Verde,46,5.96,4.35,1513.29,0,7779,5.91,34.58589569153645,1.3300219375627362,0
352630,Lagoinha,30,4.27,6.67,2932.74,0,5083,5.9,22.599319681203212,1.327473588727197,0
354020,Pontal,222,4.48,4.95,1124.0,1,37607,5.9,167.20295401357643,1.327727738482265,0
350300,Aramina,32,4.91,21.88,3780.58,0,5420,5.9,24.097641682494864,1.3279307752030196,1
355540,Ubatuba,548,4.4,6.57,1583.61,1,92981,5.89,413.39904451661533,1.3255957101709623,0
350335,Arco-Íris,12,10.08,8.33,2560.2,0,2044,5.87,9.087745313472233,1.320459540411026,2
352044,Ilha Solteira,150,5.79,10.67,1193.9,1,25549,5.87,113.5923703590519,1.3205112238248744,1
354130,Presidente Epitácio,231,3.48,6.06,783.42,1,39505,5.85,175.64157466180066,1.3151783707518705,0
355550,Ubirajara,30,3.9,6.67,1099.78,0,5132,5.85,22.817176589402887,1.3147989578137846,0
354160,Promissão,205,4.92,8.29,1115.31,1,35131,5.84,156.19451106046625,1.3124660950514457,0
355260,Tabapuã,66,7.15,10.61,2919.29,1,11323,5.83,50.3427300315294,1.311013525858938,1
350230,Anhembi,33,4.12,3.03,3176.13,0,5674,5.82,25.226940757652372,1.3081253219334468,0
355160,Serra Negra,174,5.39,8.62,2498.42,1,29894,5.82,132.9104982392069,1.3091516645046495,0
354510,Salmourão,28,4.39,3.57,763.05,0,4808,5.82,21.37665335967441,1.3098402041182031,0
350140,Álvaro de Carvalho,28,7.11,3.57,1765.86,0,4808,5.82,21.37665335967441,1.3098402041182031,2
351100,Castilho,116,3.72,7.76,1470.78,1,19977,5.81,88.81892765520293,1.306027927406584,0
351340,Cruzeiro,435,6.68,13.33,1951.52,2,74961,5.8,333.28105501134644,1.3052047017349684,1
352720,Lorena,491,5.26,11.61,1581.6,3,84855,5.79,377.27036623027703,1.3014539278717296,1
354230,Redenção da Serra,26,3.23,7.69,1062.18,0,4494,5.79,19.98059072345607,1.3012628285047392,0
352760,Luís Antônio,71,4.58,5.63,1822.32,0,12265,5.79,54.530917940184416,1.3020136590746685,0
350270,Apiaí,142,3.11,7.04,819.9,1,24585,5.78,109.30636914467458,1.2991008768396024,0
354110,Presidente Alves,22,6.36,9.09,1705.57,1,3804,5.78,16.912809771256544,1.3007891827287725,1
354760,Santa Rosa de Viterbo,135,5.1,5.93,2338.92,1,23411,5.77,104.08669546658436,1.2969957341314573,0
